PRIMERPERIODO,T,ESTATUSALUMNO,TITULACION,PRV,PRM,PAA,CatPAA,PREPA,CatPrepa,LocalForanea,CIUDADPREPA,ESTADOPREPA,CodEstado,PROMPRE,CatPromPre,BECA,CREDITO,CATFIN,PROMSEM1,EDADING,CatEdad,SEXO,IdSexo,E,ECR2
2004,15,Egresado,Titulado,534,610,1144,1,PREPARATORIA MEXICO *9555,2,2,CIUDAD GUZMAN,JALISCO,15,83,2,0,0,1,8.33,17.29,1,M,1,0,0
2004,12,Egresado,Titulado,0,0,0,3,INSTITUTO DE CIENCIAS *10059,2,1,GUADALAJARA,JALISCO,15,91,3,0,30,2,8.60,17.94,1,M,1,0,3
2004,11,Egresado,Titulado,618,661,1279,2,PREPARATORIA REGIONAL DE AMECA *10173,1,2,AMECA,JALISCO,15,81,2,0,35,2,7.86,18.51,1,M,1,0,3
2004,18,Egresado,Pendiente,0,0,0,3,COLEGIO GUADALAJARA *10181,2,1,ZAPOPAN,JALISCO,15,89,2,0,0,1,8.38,18.76,1,M,1,0,0
2004,11,Baja,Pendiente,0,0,0,3,PREPARATORIA LA PAZ *10199,2,1,GUADALAJARA,JALISCO,15,94,3,0,0,1,7.88,19.92,2,F,2,1,1
2004,8,Baja,Pendiente,618,738,1356,2,UNIVERSIDAD CUAUHTEMOC PLANTEL GUADALAJARA *10098,2,1,GUADALAJARA,JALISCO,15,75,1,30,35,2,7.75,18.50,1,M,1,1,1
2004,4,Baja,Pendiente,571,527,1098,1,CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS VALLE DE ATEMAJAC *10060,2,1,GUADALAJARA,JALISCO,15,77,1,0,0,1,6.71,19.27,2,M,1,1,1
2004,9,Egresado,Titulado,664,726,1390,2,LICEO DEL BOSQUE *10214,2,1,GUADALAJARA,JALISCO,15,93,3,20,40,2,9.00,18.02,1,M,1,0,3
2004,9,Egresado,Titulado,553,610,1163,1,CENTRO DE ENSEÑANZA TECNICA INDUSTRIAL *10147,1,1,GUADALAJARA,JALISCO,15,82,2,0,50,2,8.38,18.82,1,M,1,0,3
2004,15,Egresado,Titulado,534,485,1019,1,ESCUELA PREPARATORIA AZTECA *10281,2,1,GUADALAJARA,JALISCO,15,78,1,0,0,1,6.86,19.69,2,M,1,0,0
2004,11,Egresado,Titulado,423,620,1043,1,COLEGIO GUADALAJARA *10181,2,1,ZAPOPAN,JALISCO,15,75,1,25,30,2,8.25,18.22,1,M,1,0,3
2004,17,Baja,Pendiente,562,558,1120,1,PREPARATORIA SANTA ANITA *10202,2,1,GUADALAJARA,JALISCO,15,78,1,30,35,2,8.00,19.66,2,M,1,0,0
2004,11,Egresado,Titulado,395,599,994,1,PREPARATORIA REGIONAL DE AMECA *10173,1,2,AMECA,JALISCO,15,89,2,30,0,2,7.25,18.38,1,M,1,0,3
2004,17,Egresado,Pendiente,534,672,1206,1,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS 21 * 12212,1,2,MEXICALI,BAJA CALIFORNIA,2,88,2,20,40,2,9.43,18.28,1,M,1,0,0
2004,11,Egresado,Titulado,516,651,1167,1,I.T.E.S.M. CAMPUS COLIMA *9381,2,2,COLIMA,COLIMA,9,79,1,10,0,2,7.00,18.62,1,M,1,0,3
2004,1,Baja,Pendiente,488,496,984,1,UNIVERSIDAD DE GUADALAJARA ESCUELA PREPARATORIA NO. 7 *10220,1,1,GUADALAJARA,JALISCO,15,73,1,0,0,1,6.88,20.08,2,M,1,1,1
2004,16,Baja,Pendiente,618,738,1356,2,COLEGIO CERVANTES *10067,2,1,GUADALAJARA,JALISCO,15,70,1,0,0,1,6.57,19.37,2,M,1,0,0
